Pasal,Isi Pasal
Pasal 170,Cukup jelas.
Pasal 173,"Ayat (1)
Cukup jelas.
Ayat(2)...
SK No097198A
PRESIDEN
REPUELIK INDONES]A
-374-
Ayat (2)
Yang dimaksud dengan ""badan usaha"" antara lain Badan Usaha
Milik Negara dan/atau Badan Usaha Milik Daerah.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Cukup jelas."
Pasal 179,Cukup jelas.
Pasal 173 ayat (1) terkait penyelenggaraan,"angkutan orang tidak dalam trayek diberikan oleh:
a. Pemerintah Pusat yang bertanggung jawab di
bidang sarana dan Prasarana Lalu Lintas dan
Angkutan Jalan untuk angkutan orang yang
melayani:
1. angkutan taksi yang wilayah operasinya
melampaui 1 (satu) daerah provinsi;
2. angkutan dengan tujuan tertentu; atau
3. angkutanpariwisata;
b. gubernur untuk angkutan taksi yang wilayah
operasinya melampaui lebih dari 1 (satu)
daerah kabupaten/kota dalam 1 (satu)
provinsi sesuai dengan nonna, standar,
prosedur, dan kriteria yang ditetapkan oleh
Pemerintah Pusat;
c. Gubernur Daerah Khusus Ibukota Jakarta
untuk angkutan taksi dan angkutan kawasan
tertentu yang wilayah operasinya berada
dalam wilayah Provinsi Daerah Khusus
Ibukota Jakarta sesuai dengan norma,
standar, prosedur, dan kriteria yang
ditetapkan oleh Pemerintah Pusat; dan
d. bupati. . .
SK No 160471A
EEIIFIEENI
REPUEUK INDONESIA
-380-
d. bupati/wali kota untuk taksi dan angkutan
kawasan tertentu yang wilayah operasinya
berada dalam wilayah kabupaten/kota sesuai
dengan norma, standar, prosedur, dan kriteria
yang ditetapkan oleh Pemerintah Pusat.
(21 Ketentuan lebih lanjut mengenai tata cara dan
persyaratan pemberian Perizinan Berusaha
sebagaimana dimaksud pada ayat (1) diatur dalam
Peraturan Pemerintah.
25. Pasal 180 dihapus.
26. Ketentuan Pasal 185 diubah sehingga berbunyi sebagai
berikut:"
Pasal 185,Cukup jelas.
Pasal 199,"Cukup jelas.
Angka 28"
"Pasal 192, atau Pasal 193 dikenai sanksi","administratif berupa:
a. peringatantertulis;
b. dendaadministratif;
c. pembekuan Perizinan Berusaha; dan/ atau
d. pencabutan Perizinan Berusaha.
(2) Ketentuan. . .
SK No 160472A
PRESIDEN
REFUBLIK INDONESIA
-381 -
l2l Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
28. Ketentuan Pasal 22O diubah sehingga berbunyi sebagai
berikut:"
Pasal 22O,"Ayat (1)
Huruf a
Cukup jelas.
Huruf b
Cukup jelas.
Huruf c
Yang dimaksud dengan ""badan hukum"" adalah
badan (perkumpulan dan sebagainya) yang dalam
hukum diakui sebagai subjek hukum yang dapat
dilekatkan hak dan kewajiban hukum, seperti
perseroan, yayasan, dan lembaga.
Huruf d
Cukup jelas.
Huruf e
Cukup jelas.
Ayat(2)...
SK No 158392A
. PRESIDEN
REPUELIK INDONESIA
-188-
Ayat (2)
Cukup jelas.
Ang)<a 29
Pasal222
Cukup jelas.
Angka 30"
Pasal 222,"Cukup jelas.
Angka 67"
Pasal 3O2,"Setiap orang yang mengemudikan Kendaraan
Bermotor Umum angkutan orang yang tidak berhenti
selain di tempat yang telah ditentukan, mengetem,
menurunkan penumpang selain di tempat
pemberhentian, atau melewati jaringan jalan selain
yang ditentukan dalam trayek yang telah disetujui
dalam Perizinan Berusaha sebagaimana dimaksud
dalam Pasal 126 dipidana dengan pidana kurungan
paling lama 1 (satu) bulan atau denda paling banyak
Rp25O.00O,OO (dua ratus lima puluh ribu rupiah).
diubah sehingga berbunyi 31. Ketentuan Pasal 305
sebagai berikut:"
Pasal 305,"Cukup jelas.
Angka 32"
Pasal 24A,Cukup jelas.
Pasal 32A,"Ayat (1)
Yang dimaksud dengan ""barang konsumsi"" antara lain:
a. barang . . .
SK No 097187 A
PRESIDEN
REPUELIK INDONESIA
-363-
a. barang konsumsi yang diperlukan oleh Pelaku Usaha
di KEK yang kegiatan utamanya bukan produksi dan
pengolahan dalam menjalankan usahanya;
b. waktu penggunaannya relatif singkat; dan
c. tidak ditujukan untuk penggunaan di luar KEK.
Jenis dan jumlahnya diusulkan oleh Administrator dan
disetujui oleh Dewan Nasional.
Ayat (21
Cukup jelas.
Ar:gka26"
Pasal 77,"(1) Setiap Orang dilarang memproduksi Pangan yang
dihasilkan dari Rekayasa Genetik Pangan yang
belum memenuhi Perizinarr Berusaha dari
Pemerintah Pusat.
(21 Setiap Orang yang melakukan kegiatan atau proses
Produksi Pangan dilarang menggunakan bahan
baku, bahan tambahan Pangan, dan/ atau bahan
lain yang dihasilkan dari Rekayasa Genetik Pangan
yang belum memenuhi Perizinan Berusaha dari
Pemerintah Pusat.
(3) Ketentuan lebih lanjut mengenai Perizinan
Berusaha s6fa ga i muu14 dimaksud pada ayat (1)
dan ayat (2) diatur dalam Peraturan Pemerintah.
10. Ketentuan Pasal 81 diubah sehingga berbunyi sebagai
berikut:9
SK No 132703 APasal 81 ...
FRESIDEN
REPUBLIK INDONESIA
-484-"
Pasal 8OA,"Petugas Prasarana Perkeretaapian yang
mengoperasikan Prasarana Perkeretaapian tidak
memiliki sertifikat kecakapan sebagaimana dimaksud
dalam Pasal 80 ayat (1) dikenai sanksi administratif.
10. Ketentuan Pasal 82 diubah sehingga berbunyi sebagai
berikut:"
Pasal 81 dikenai sanksi administratif.,"11. Ketentuan Pasal 1O7 diubah sehingga berbunyi sebagai
berikut:"
Pasal 112...,"SK No 160479A
REPUBLIK INDONESIA
-388-"
Pasal 112,Angka 1
Pasal 116A,Cukup jelas.
Pasal 116E},"Penyelenggara Sarana Perkeretaapian yang
mengoperasikan Sarana Perkeretaapian dengan Awak
Sarana Perkeretaapian yang tidak memiliki sertifikat
kecakapan sebagaimana dimaksud dalam Pasal 116
ayat (1) dikenai sanksi administratif.
14. Ketentuan Pasal 135 diubah sehingga berbunyi sebagai
berikut:"
Pasal 135,Cukup jelas.
Pasal 168,Cukup jelas.
Pasal 168 dikenai sanksi administratif.,"(21 Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
sebagaimana dimaksud pada ayat (1) diatur dalam
Peraturan Pemerintah.
17. Ketentuan Pasal 188 diubah sehingga berbunyi sebagai
berikut:"
Pasal 188,"Cukup jelas.
Angka 70"
Pasal 190,"Cukup jelas.
Angka 71"
Pasal 191,"Cukup jelas.
Angka20...
SK No 158395 A
PRESIDEN
REPUBLIK INDONESIA
-191 -
Angka 20"
Pasal 195,"Cukup jelas.
Angka 21"
Pasal 196,"Cukup jelas.
Angka22"
Pasal 203,"(1) Awak Sarana Perkeretaapian yang mengoperasikan
Sarana Perkeretaapian tidak memiliki sertifikat
kecakapan sebagaimana dimaksud dalam Pasal
116 ayat (1) yang mengakibatkan kecelakaan
Kereta Api dan/ atau kerugian bagi harta benda
dipidana dengan pidana penjara paling lama 2
(dua) tahun.
(21 Jika tindakan sebagaimana dimaksud pada ayat (1)
mengakibatkan luka berat bagi orang, Awak
Sarana Perkeretaapian dipidana dengan pidana
penjara paling lama 3 (tiga) tahun.
(s)Jika. . .
SK No 160483 A
REFTIBUK INDONESIA
-392-
(3) Jika tindakan sebagaimana dimaksud pada ayat (1)
mengakibatkan kematian orang, Awak Sarana
Perkeretaapian dipidana dengan pidana penjara
paling lama 5 (lima) tahun.
23. Ketentuan Pasal 204 diubah sehingga berbunyi sebagai
berikut:"
Pasal 204,"Cukup jelas.
SK No l58417AAngka45. ..
PRESIDEN
BLIK INDONESIA
-205-
Angka 45"
Pasal 116 ayat (l) yang mengakibatkan terjadinya,"kecelakaan dan/atau menimbulkan korban
dipidana dengan pidana penjara paling lama 1
(satu) tahun dan pidana denda paling banyak
Rp250.O00.00O,0O (dua ratus lima puluh juta
rupiah).
(21 Jika tindakan sebagaimana dimaksud pada ayat (1)
mengakibatkan luka berat bagi orang,
Penyelenggara Sarana Perkeretaapian dipidana
dengan pidana penjara paling lama 3 (tiga) tahun.
(3) Jika tindakan sebagaimana dimaksud pada ayat (1)
mengakibatkan kematian orang, Penyelenggara
Sarana Perkeretaapian dipidana dengan pidana
penjara paling lama 5 (lima) tahun.
24. Ketentuan Pasal 210 diubah sehingga berbunyi sebagai
berikut:"
Pasal 21O,"(1) Dalam hal tindakan sebagaimana dimaksud dalamPasal 189, Pasal 191, dan Pasal 193
mengakibatkan luka. berat bagi orang, pelaku
dipidana dengan pidana penjara paling lama 3
(tiga) tahun dan pidana denda paling banyak
Rp 1.000.000.000,00 (satu miliar rupiah).
SK No 160484A(2) Dalam . . .
REPUBUK INDONESIA
-393-
(21 Dalam hal tindakan sebagaimana dimaksud dalam"
"Pasal 193 mengakibatkan matinya orang, pelaku","dipidana dengan pidana penjara paling lama 6
(enam) tahun dan pidana denda paling banyak
Rp2.O00.000.000,00 (dua miliar rupiah).
(3) Dalam hal tindakan sebagaimana dimaksud dalam"
"Pasal 189, Pasal 191, dan Pasal 193 dilakukan oleh","Badan Usaha Penyelenggara yang mengakibatkan
luka berat bagi orang, Badan Usaha Penyelenggara
dipidana dengan pidana denda paling banyak
Rp3.000.000.000,0O (tiga miliar rupiah).
(4) Dalam hal tindakan sebagaimana dimaksud dalam"
"Pasal 189, Pasal 191, dan Pasal 193, dilakukanoleh Badan Usaha Penyelenggara yang","mengakibatkan matinya orang, Badan Usaha
Penyelenggara dipidana dengan pidana denda
paling banyak Rp3.O00.0OO.0OO,00 (tiga miliar
rupiah)."
"Pasal 3 I ayat (21, dilakukan oleh Badan Usaha yang","didirikan khusus untuk penyelenggaraan usaha
jasa terkait dengan Angkutan di Perairan.
l2l Ketentuan mengenai penyelenggaraan usaha jasa
terkait dengan Angkutan di Perairan sebagaimana
dimaksud pada ayat (1) dilakukan sesuai dengan
peraturan perundang-undangan di bidang
penanaman modal.
(3) Selain Badan Usaha yang didirikan khusus untuk
itu penyelenggaraan Usaha Jasa Terkait dengan
Angkutan di Perairan sebagaimana dimaksud pada
ayat (1) kegiatan angkutan perairan Pelabuhan
dapat dilakukan oleh perusahaan angkutan laut
nasional.
1O. Ketentuan Pasal 33 diubah sehingga berbunyi sebagai
berikut:"
"Pasal 19 ayat (21, Pasal 27, Pasal 28 ayat (4), Pasal","28 ayal (6), Pasal 33, Pasal 38 ayat (1), Pasal 41
ayat (3), Pasal 42 ayat (1), Pasal 46, Pasal 47, atau"
Pasal 54 dikenai sanksi administratif.,"(2) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
15. Ketentuan Pasal 90 diubah sehingga berbunyi sebagai
berikut:"
Pasal 9O,Cukup jelas.
Pasal 91,Cukup jelas.
Pasal 90 ayat (l) pada Pelabuhan yang diusahakan,"secara komersial dilaksanakan oleh Badan Usaha
Pelabuhan setelah memenuhi Perizinan Berusaha
dari Pemerintah Pusat atau Pemerintah Daerah
sesuai dengan kewenangannya berdasarkan
norma, standar, prosedur, dan kriteria yang
ditetapkan oleh Pemerintah Pusat.
(21 Kegiatan pengusahaan yang dilakukan oleh Badan
Usaha Pelabuhan sebagaimana dimaksud pada
ayat (1) dapat dilakukan untuk lebih dari 1 (satu)
Terminal.
(3) Kegiatan penyediaan dan/ atau pelayanan jasa
Kepelabuhanan sebagaimana dimaksud dalam"
Pasal 9O ayat (1) pada Pelabuhan yang belum,"diusahakan secara komersial dilaksanakan oleh
Unit Penyelenggara Pelabuhan.
(4) Dalam . . .
SK No 160494A
EEFIEtrIIIEiltrtrf,IIIEEIItrEIn
-403-
(4) Dalam keadaan tertentu, Terminal dan fasilitas
Pelabuhan lainnya pada Pelabuhan yang
diusahakan Unit Penyelenggara Pelabuhan dapat
dilaksanakan oleh Badan Usaha Pelabuhan
berdasarkan pedanj ian.
(5) Kegiatan jasa terkait dengan Kepelabuhanan
sebagaimana dimaksud dalam Pasal 90 ayat (1)
dapat dilakukan oleh orang perseorangan warga
negara Indonesia dan/ atau Badan Usaha.
17. Ketentuan Pasal 96 diubah sehingga berbunyi sebagai
berikut:"
Pasal 102 ayat (1) hanya dapat dibangun dan,"dioperasikan dalam hal:
a. Pelabuhan terdekat tidak dapat menampung
kegiatan pokok tersebut; atau
b. berdasarkan pertimbangan ekonomis dan
teknis operasional akan lebih efektif dan
efisien serta lebih menjamin Keselamatan dan
Keamanan Pelayaran apabila membangun dan
mengoperasikan Terminal Khusus.
(2) Pembangunan dan pengoperasian Terminal
Khusus sebagaimana dimaksud pada ayat (l) wajib
memenuhi Perizinan Berusaha dari Pemerintah
Pusat.
23. Ketentuan Pasal 106 diubah sehingga berbunyi sebagai
berikut:"
Pasal 111,"Angka 1
SK No 096556 APasal 2...
PRESIDEN
REPUBLIK INDONESIA
-309-"
Pasal 124 . . .,"SK No 160498A
I
PRESIDEN
NEPUB|JK INDONESIA
-407-"
Pasal 124,Angka 1
Pasal 125,Cukup jelas.
Pasal 127,Cukup jelas.
Pasal 129,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Yang dimaksud dengan ""sudah digunakan dan/atau
dimanfaatkan sesuai dengan tujuan pemberian haknya"" adalah
pemegang hak atas tanah sudah memiliki sertifikat laik fungsi.
Ayat (4)
Cukup jelas.
Ayat (5)
Cukup jelas."
Pasal 130,Cukup jelas.
Pasal 133. . .,"SK No 132705 A
PRESIDEN
REPUBLIK INDONESIA
_486_"
Pasal 133,Cukup jelas.
Pasal 155,Cukup jelas.
Pasal 157,"Ayat (1)
Cukup jelas.
Ayat (2)
Ayat (3)Aset negara yang berasal dari cabang-cabang produksi yang
penting bagi negara dan yang menguasai hajat hidup orang
banyak dikuasai oleh negara dan tidak dapat
dipindahtangankan kepada orang lain termasuk lembaga.
Aset negara yang berisikan atau mengelola bumi, air, dan
kekayaan alam yang terkandung di dalamnya tetap dikuasai
oleh negara dan tidak dipindahtangankan menjadi aset
Lembaga.
Ayat(4) ...
SK No 097238 ACukup jelas.
PRESIDEN
REPUELIK INDONESIA
-368-
Ayat (4)
Yang dimaksud dengan ""ketentuan peraturan perundang-
undangan"", misalnya: peralihan hak milik atas saham
dilakukan dengan Akta Jual Beli atau Akta Hibah atas saham,
pengalihan hak milik atas tanah dan/atau bangunan
dilakukan dengan Akta Pejabat Pembuat Akta Tanah.
Ayat (5)
Cukup jelas.
Ayat (6)
Cukup jelas.
Ayat (7)
Dalam putusan Rapat Umum Pemegang Saham untuk Persero
dengan tetap mengacu ketentuan dan pengaturan dalam
anggaran dasar badan usaha milik negara dimaksud atau
memuat antara lain proses administrasi pengalihan aset
termasuk cara pemindahtanganan.
Ayat (8)
Peraturan Pemerintah antara lain mengatur mengenai
mekanisme pembukuan aset yang dipindahtangankan,
penentuan aset yang dipindahtangankan dan nilai pasar
wajar aset tersebut, dan prosedur pemindahtanganan.
Mekanisme yang diatur tersebut memperhatikan praktik
bisnis yang berlaku secara internasional dan memperhatikan
prinsip independensi dan transparansi dari Lembaga."
Pasal 158,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
SK No 097193 AAyat(3)...
Ayat
Ayat
Ayat
Ayat
AyatPRESIDEN
REPUELIK INDONESIA
-369-
(3)
Kerja sama dengan pihak ketiga dimaksud antara lain
dilakukan dengan mitra investasi, badan usaha milik negara,
badan atau lembaga pemerintah atau melalui penunjukan
manajer investasi berbadan hukum Indonesia atau asing.
Lembaga dalam kerja sama dengan pihak ketiga, tetap
mempertahankan kedudukannya sebagai penentu utama
kebijakan usaha dan penentu dalam pengambilan keputusan
di badan usaha yang memenuhi kriteria yang ditetapkan oleh
Pemerintah Pusat.
(41
Modal dan kekayaan kmbaga merupakan milik Lembaga dan
setiap kerugian yang dialami oleh trmbaga bukan merupakan
kerugian negara.
(s)
Cukup jelas.
(6)
Cukup jelas.
(71
Peraturan Pemerintah dimaksud mengatur antara lain
pertimbangan untuk melakukan pencadangan dan
penggunaan akumulasi modal untuk investasi kembali."
Pasal 159,"Ayat (1)
Yang dimaksud dengan ""pihak ketiga' mencakup mitra
investasi, manajer investasi, badan usaha milik negara, badan
atau lembaga pemerintah, dan/ atau entitas lainnya baik di
dalam maupun luar negeri.
SK No 097194 AAyat(2)...
Ayat
Ayat
Ayat
Ayat
AyatPRESIDEN
REPUBLIK INDONESIA
-370-
(2)
Yang dimaksud dengan ""bentuk kerja sama lainnya"" dapat
mencakup pendirian dana kelolaan investasi (fundl bersama
pihak lain.
Lembaga dalam kerja sama dengan pihak ketiga, tetap
mempertahankan kedudukannya sebagai penentu utama
kebijakan usaha dan penentu dalam pengambilan keputusan
di badan usaha dengan kriteria yang ditetapkan oleh
Pemerintah Pusat.
(3)
Pemindahtanganan aset Lembaga untuk dijadikan penyertaan
modal dengan memperhatikan tujuan pemindahtangan.rn,
penilaian atas aset dan memperhatikan praktik bisnis yang
berlaku secara internasional dan dilakukan dengan prinsip
usaha yang sehat.
(4)
Cukup jelas.
(s)
Cukup jelas.
(6)
Peraturan Pemerintah dalam ayat ini sekurang-kurangnya
mengatur:
a. kerja sama dengan pihak ketiga yang mencakup antara
lain tata kelola aset yang. dikerjasamakan, pembagian
keuntungan hasil kerja sama, mekanisme partisipasi,
audit dari aset yang bersangkutan;
b. pembentukan dana kelolaan investasi (fundl yang
mencakup permodalan, ruang lingkup tujuan investasi,
bentuk, jenis dana kelolaan investasi dan tata kelola dana
investasi; dan
c. penilaian aset.
Pengaturan di dalam Peraturan Pemerintah didasarkan pada
praktik internasional yang baik.
SK No 097195 APasal 160. . .
PRESIDEN
REPUBLIK INDONESIA
-37t-"
Pasal 163,Cukup jelas.
Pasal 169,Cukup jelas.
Pasal 171,Cukup jelas.
"Pasal 97 ayat (1), Pasal 98 ayat (1), Pasal 100 ayat","(3), Pasal 104 ayat (2), Pasal 1O6, Pasal 125 ayat (1),
Pasa.l 13O ayat (1), Pasal 131 ayat (21, Pasal 132
ayat (1) atau ayat (2), Pasal 135, Pasal 137 ayat (1)
atau ayat (2), Pasal 138 ayat (1) atau ayat (2), Pasall4l ayat (1) atau ayat (21, Pasal 149 ayat (1), Pasal
I52 ayat (1), Pasal 156 ayat (1), Pasal 158 ayat (5),"
"Pasal 160 ayat (l), Pasal 162 ayat (1), atau Pasal","165 ayat (1) dikenai sanksi administratif.
SK No 137362 A(2) Dihapus. . .
PRESIOEN
REPUBLIK INDONES
-415-
(21 Dihapus.
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
43. Ketentuan Pasal 197 diubah sehingga berbunyi sebagai
berikut:"
Pasal 197,Cukup jelas.
Pasal 213,"Cukup jelas.
Angka 46
Pasal225
Cukup jelas.
Angka4T"
"Pasal 204 ayat l2l, Pasal 213 ayat (1), Pasal 213","ayat(2), Pasal 214, Pasal 215, atau Pasal 216 ayal
(l) dikenai sanksi administratif.
(2) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
47. Ketentuan Pasal 243 diubah sehingga berbunyi sebagai
berikut:"
Pasal 243,"Cukup jelas.
Angka 48"
"Pasal 233 ayat (3), Pasal 234, Pasal 235, atau Pasal","239 ayat (2) dikenai sanksi administratif.
l2l Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
48. Ketentuan Pasal 273 diubah sehingga berbunyi sebagai
berikut:"
Pasal 273,"Cukup jelas.
Angka 49"
Pasal 288,"Cukup jelas.
Angka 50"
"Pasal 28 ayat (4) yang menimbulkan kecelakaan Kapal,","korban manusia, atau kerugian harta benda dipidana
dengan pidana penjara paling lama I (satu) tahun atau
pidana denda paling banyak Rp30O.000.O00,00 (tiga
ratus juta rupiah).
50. Ketentuan Pasal 289 diubah sehingga berbunyi sebagai
berikut:"
Pasal 289,"Cukup jelas.
Angka 51
Pasa1 29O
Cukup jelas.
Angka 52"
Pasal 290,"Setiap Orang yang menyelenggarakan Usaha Jasa
Terkait dengan Angkutan di Perairan tanpa memenuhi
Perizinan Berusaha sebagaimana dimaksud dalam"
Pasal 33 yang menimbulkan korban manusia atau,"kerugian harta benda dipidana dengan pidana penjara
paling lama 1 (satu) tahun atau pidana denda paling
banyak Rp3O0.0O0.000,00 (tiga ratus juta rupiah).
SK No 132644A52. Ketentuan . . .
PRESIDEN
REPUBLIK INDONESIA
-4t9-
52. Ketentuan Pasal 291 diubah sehingga berbunyi sebagai
berikut:"
Pasal 291,"Cukup jelas.
SK No l58418AAngka53...
PRESIDEN
REPUBLIK INDONESIA
_206_
Angka 53"
Pasal 38 ayat (1) yang mengakibatkan timbulnya,"kerugian pihak lain dipidana dengan pidana penjara
paling lama 1 (satu) tahun dan pidana denda paling
banyak Rp350.00O.000,00 (tiga ratus lima puluh juta
rupiah).
53. Ketentuan Pasal 292 diubah sehingga berbunyi sebagai
berikut:
PasaJ292
Setiap Orang yang tidak mengasuransikan tanggung
jawabnya sebagaimana dimaksud dalam Pasal 4l ayat
(3) yang mengakibatkan timbulnya kerugian pihak lain
dipidana dengan pidana penjara paling lama 6 (enam)
bulan dan pidana denda paling banyak
Rp 100.000.00O,0O (seratus juta rupiah).
54. Ketentuan Pasal 293 diubah sehingga berbunyi sebagai
berikut:"
Pasal 293,"Cukup jelas.
Angka 55"
Pasal 295,"Cukup jelas.
Angka 85"
Pasal 296,"Cukup jelas.
Angka 58"
Pasal 297,"Cukup jelas.
Angka 59"
Pasal 299,"Cukup jelas.
SK No 158419AAngka6l ...
PRESIDEN
REPUBLIK INDONESIA
-207-
Angka 61"
Pasal 104 ayat (2) yang mengakibatkan timbulnya,"korban/kerusakan terhadap kesehatan, keselamatan,
dan/ atau lingkungan dipidana dengan pidana penjara
paling lama 2 (dua) tahun atau pidana denda paling
banyak Rp300.0O0.000,00 (tiga ratus juta rupiah).
61. Ketentuan Pasal 307 diubah sehingga berbunyi sebagai
berikut:"
Pasal 307,"Cukup jelas.
Angka62"
Pasal 308,"Cukup jelas.
Angka 63"
Pasal 310,"Cukup jelas.
Angka 64"
Pasal 313,"Cukup jelas.
Angka 65"
Pasal 149 ayat (1) yang mengakibatkan timbulnya,"korban atau kerugian harta benda dipidana dengan
pidana penjara paling lama 2 (dua) tahun dan pidana
denda paling banyak Rp30O.000.OO0,OO (tiga ratus juta
rupiah).
SK No 132649A65. Ketentuan . . .
PRESIDEN
REPUBLIK INDONESIA
-424-
65. Ketentuan Pasal 314 diubah sehingga berbunyi sebagai
berikut:"
Pasal 314,"Cukup jelas.
Angka 66"
Pasal 321,"Cukup jelas.
Angka 67"
Pasal 322,"Cukup jelas.
Angka 68"
Pasal 336,Cukup jelas.
Pasal 66. . .,"SK No 132659A
PRESIDEN
REPUBLIK INDONESIA
-434-"
Pasal 66,Cukup jelas.
Pasal 97...,"SK No 132663 A
PRESIDEN
REPUBLIK INDONESIA
-438-"
Pasal 109 berlaku selama pemegan gPerizinan Berusaha,"masih menjalankan kegiatan Angkutan Udara secara
nyata dengan terus menerus mengoperasikan Pesawat
Udara sesuai dengan Perizinan Berusaha yang
diberikan.
49. Ketentuan Pasal 113 diubah sehingga berbunyi sebagai
berikut:"
Pasal 109 dilarang dipindahtangankan kepada,"pihak lain sebelum melakukan kegiatan usaha
Angkutan Udara secara nyata dengan
mengoperasikan Pesawat Udara sesuai dengan
Perizinan Berusaha yang diberikan.
l2l Pemegang Perizinan Berusaha yang melanggar
ketentuan sebagaimana dimaksud pada ayat (1)
dikenai sanksi administratif berupa pencabutan
Perizinan Berusaha.
50. Ketentuan Pasal 114 diubah sehingga berbunyi sebagai
berikut:"
Pasal 118.. .,"SK No 132665 A
PRESIDEN
REPUBLIK INDONESIA
-440-"
Pasal 118,Angka 1
Pasal 119...,"SK No 132667 A
PRESIDEN
REPUBLTK INDONESIA
-442-"
Pasal 119,"Cukup jelas.
SK No 097165 APasal 120. . .
PRESIDEN
REPUELIK INDONESIA
-34t-"
Pasal 13O . . .,"SK No 132668 A
PRESIDEN
REPUELIK INDONESIA
-443-"
Pasal 137,Cukup jelas.
Pasal 138,Cukup jelas.
Pasal 139,Cukup jelas.
Pasal 2O5,"Cukup jelas.
Angka 62"
Pasal 218,"Cukup jelas.
Angka 64
Pasa1 2 19
Cukup jelas.
Angka 65"
Pasal 219,"(1) Setiap Badan Usaha Bandar Udara atau Unit
Penyelenggara Bandar Udara wajib menyediakanfasilitas Bandar Udara yang memenuhi
persyaratan keselamatan dan keamanan
Penerbangan serta pelayanan jasa Bandar Udara
sesuai dengan standar pelayanan yang ditetapkan.
SK No 137364A(2) Setiap. . .
PRESIDEN
REPUBLIK INDONESIA
-446-
(21 Setiap Badan Usaha Bandar Udara atau Unit
Penyelenggara Bandar Udara yang melanggar
ketentuan sebagaimana dimaksud pada ayat (1)
dikenai sanksi administratif.
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (2)
diatur dalam Peraturan Pemerintah.
65. Ketentuan Pasal 221 diubah sehingga berbunyi sebagai
berikut:"
Pasal 221,"Cukup jelas.
SK No 158434AAngka66.. .
PRESIOEN
REPI.JBLIK INDONESIA
-220-
Angka 66"
Pasal 224,"Cukup jelas.
Angka 68
PasaJ225
Cukup jelas.
Angka 69"
Pasal 233,"Cukup jelas.
Angka 70"
Pasal 237,"Cukup jelas.
Angka 71"
Pasal 238,"Cukup jelas.
AngkaT2"
Pasal 242,"Cukup jelas.
Angka 73"
Pasal 249,"Bandar Udara Khusus dilarang melayani Penerbangan
langsung dari dan/atau ke luar negeri kecuali dalam
keadaan tertentu dan bersifat sementara setelah
memperoleh persetujuan dari Pemerintah Pusat.
75. Ketentuan Pasal 250 diubah sehingga berbunyi sebagai
berikut:"
Pasal 250,"Yang dimaksud . dengan ""putusan pengadilan"" adalah
putusan pengadilan yang telah diikuti oleh putusan hakim
berikutnya.
Angka 3"
Pasal 252,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
SK No 097202 AAyat(3)...
PRESIDEN
REPUBLIK IHOONESIA
-378-
Ayat (3)
Cukup jelas.
Ayat (4)
Dihapus.
Angka 5"
Pasal 253,"Cukup jelas.
Angka 78"
Pasal 254,"Ayat (1)
Yang dimaksud dengan ""memenuhi ketentuan
Keselamatan Penerbangan dan Keamanan
Penerbangan"", arrtara lain, memiliki buku pedoman
pengoperasian tempat pendaratan dan lepas landas
Helikopter (lelipoft marutall.
Ayat (21
Cukup jelas.
SK No 097286 AAngka79...
PRESIDEN
REPUELIK INDONESIA
-222-
Ang)<a79"
Pasal 255,"Cukup jelas.
Angka 80"
